,Tool_ID,Position,Condition,TCond,Machined_length,Init_diameter,Final_diameter,R_measurement,ap,vc,f,Fx,Fy,Fz,F,Exp
822,-0.06538540310444294,-0.017189124581391622,0.007335385987400172,-0.0008069164424993496,0.002632424391376444,0.023447418659944857,0.03040282040713706,0.005100072524573827,-0.022358366246755135,0.0,-0.03600503393275877,-0.0019278231562619619,0.00448439914138696,0.014513179582158867,-0.0016342183423391193,0.0
265,0.10598983661996167,-0.09214353376303613,-0.0047408807315463845,0.02545536072960884,0.0009442487023158302,-0.01971093502901439,-0.009869010713943586,-0.007593400529793456,0.009387747306191603,0.0,0.17007397492192963,0.012231474171917833,0.006387184072209456,0.01445491716144778,-0.00029762431324784105,0.0
411,0.11165420449959544,-0.09564796448246207,0.008231680386323992,0.03985079907327991,0.004800396433042444,0.01808308987466014,0.007769928965116139,0.01733789079185524,0.021059634344026756,0.0,0.1914733962084882,0.028381366863294694,0.01663800781521896,0.05420735284422785,-0.004050537923765897,0.0
30,-0.06466477861003767,-0.015283090915946613,0.0014022644238185842,-0.010023235349218278,0.007492875958482369,0.05018958840248361,0.009844499827391925,0.0035531486618907613,-0.007809515287369768,0.0,-0.14356512672060337,-0.036431690635672996,-0.013394526302931318,-0.015571696495977594,-0.010186534584318997,0.0
727,-0.10864977723574276,0.0030943823726175836,0.010999117413117428,0.015449575009186785,-0.0008663154922273828,-0.0030729248224361854,0.01084901563908318,-0.00545920794733608,-0.02904632313239905,0.0,-0.03783533198400598,-0.00928396866178509,-0.00021683443499298505,-0.006374698150855187,0.003042020279872988,0.0
668,0.10214531914643464,-0.02753891681837702,0.007947653633116317,0.008847702720216077,0.005184744659386147,0.06491095111308223,0.04097250847773538,0.022044940598313634,0.03960014063366224,0.0,-0.020733484509139165,0.010247674223854409,0.010020893845759653,0.0215971438988015,-0.005787432166976692,0.0
39,-0.07314770000995738,-0.06637819570153503,0.0034661617208688856,0.002065837775166412,0.0012175010162252826,0.05966070701630748,0.014347709004266032,0.00466641726670732,-0.007120713120557148,0.0,-0.015438570282183739,0.012500678500864816,-0.0002949395119119898,-0.013654510002668652,-0.008688903324911474,0.0
213,0.1094636283651075,-0.07749996901521512,0.0009932954145645827,-0.006217917742895632,0.007227237077026748,0.05120865019225447,0.001974323377252126,0.0026217807056303976,-0.005604980732489311,0.0,-0.1583798464268345,-0.008248505783333322,-0.012562543328675698,-0.021663955682343645,6.0314711170873905e-05,0.0
680,0.09459634887202559,-0.014511989425188885,0.0037457028158680832,-0.04175433853185193,-0.0005987418555568172,-0.007090297845612489,-0.03947752591351351,0.021108338540943312,0.0327832952154345,0.0,-0.020733484509139165,0.009542231780160972,0.006009479454353381,0.020995992148732594,0.009141138041264603,0.0
361,-0.05002248695071578,-0.07645302345630833,-0.004525938253267553,-0.03147901974819912,-0.0025245844658114735,-0.02840045050444226,-0.008442187484089616,-0.0028949561461190064,-0.018901660602711746,0.0,-0.10888274797526282,-0.07028086624974327,-0.022679313118129454,-0.026684263860228315,-0.013061964837448703,0.0
